Entity      ;Measurable                    ;Parameter       ;Type          ;Value                ;Age       ;State     ;Info
node01    ;gpu_ecc_dbe_vol               ;gpu2            ;GPU           ;0.000000             ;1m 49s    ;          ;
node01    ;gpu_ecc_dbe_vol               ;gpu3            ;GPU           ;0.000000             ;1m 49s    ;          ;
node01    ;gpu_ecc_sbe_agg               ;gpu0            ;GPU           ;0.000000             ;1m 55s    ;          ;
node01    ;gpu_ecc_sbe_agg               ;gpu1            ;GPU           ;0.000000             ;1m 49s    ;          ;
node01    ;gpu_ecc_sbe_agg               ;gpu2            ;GPU           ;0.000000             ;1m 49s    ;          ;
node01    ;gpu_ecc_sbe_agg               ;gpu3            ;GPU           ;0.000000             ;1m 49s    ;          ;
node01    ;gpu_ecc_sbe_vol               ;gpu0            ;GPU           ;0.000000             ;1m 55s    ;          ;
node01    ;gpu_ecc_sbe_vol               ;gpu1            ;GPU           ;0.000000             ;1m 49s    ;          ;
node01    ;gpu_ecc_sbe_vol               ;gpu2            ;GPU           ;0.000000             ;1m 49s    ;          ;
node01    ;gpu_ecc_sbe_vol               ;gpu3            ;GPU           ;0.000000             ;1m 49s    ;          ;
node01    ;gpu_enc_utilization           ;average         ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_enc_utilization           ;gpu0            ;GPU           ;0.000000             ;1m 56s    ;          ;
node01    ;gpu_enc_utilization           ;gpu1            ;GPU           ;0.000000             ;1m 56s    ;          ;
node01    ;gpu_enc_utilization           ;gpu2            ;GPU           ;0.000000             ;1m 55s    ;          ;
node01    ;gpu_enc_utilization           ;gpu3            ;GPU           ;0.000000             ;1m 55s    ;          ;
node01    ;gpu_enforced_power_limit      ;gpu0            ;GPU           ;400.000000           ;1m 56s    ;          ;
node01    ;gpu_enforced_power_limit      ;gpu1            ;GPU           ;400.000000           ;1m 56s    ;          ;
node01    ;gpu_enforced_power_limit      ;gpu2            ;GPU           ;400.000000           ;1m 56s    ;          ;
node01    ;gpu_enforced_power_limit      ;gpu3            ;GPU           ;400.000000           ;1m 56s    ;          ;
node01    ;gpu_health_driver             ;gpu0            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_driver             ;gpu1            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_driver             ;gpu2            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_driver             ;gpu3            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_hostengine         ;                ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_inforom            ;gpu0            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_inforom            ;gpu1            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_inforom            ;gpu2            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_inforom            ;gpu3            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_mcu                ;gpu0            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_mcu                ;gpu1            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_mcu                ;gpu2            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_mcu                ;gpu3            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_mem                ;gpu0            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_mem                ;gpu1            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_mem                ;gpu2            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_mem                ;gpu3            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_nvlink             ;gpu0            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_nvlink             ;gpu1            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_nvlink             ;gpu2            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_nvlink             ;gpu3            ;GPU           ;0.000000             ;1m 48s    ;          ;
